id,title,category_id,price,currency_id,available_quantity,sold_quantity,condition,permalink,seller_id,seller_power_seller_status
MLA1141052441,"Google Nest Hub 2nd Gen Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",MLA409415,419990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1141052441-google-nest-hub-2nd-gen-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-charcoal-110v220v-_JM,,
MLA915561586,Google Home Mini Con Asistente Virtual Google Assistant Charcoal 110v/220v,MLA409415,75990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-915561586-google-home-mini-con-asistente-virtual-google-assistant-charcoal-110v220v-_JM,,
MLA912740661,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,MLA409415,169999,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-912740661-google-nest-mini-nest-mini-2nd-gen-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,,
MLA1616758962,Google Home Asistente Virtual Google Assistant Refabricado,MLA409415,119990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1616758962-google-home-asistente-virtual-google-assistant-refabricado-_JM,,
MLA1597574484,Parlante Google Home Mini Asistente Virtual Refabricado,MLA409415,69990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1597574484-parlante-google-home-mini-asistente-virtual-refabricado-_JM,,
MLA1398793543,Google Home Mini Con Asistente Virtual Google Assistant Ref,MLA409415,69990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1398793543-google-home-mini-con-asistente-virtual-google-assistant-ref-_JM,,
MLA1384134643,Google Home Mini Versión Bulk/ Sin Caja/ Cargador Original!,MLA409415,85995,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1384134643-google-home-mini-version-bulk-sin-caja-cargador-original-_JM,,
MLA1125948601,Combo Google Home Mini + Chromecast 2 Ga00379-us,MLA409415,129990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1125948601-combo-google-home-mini-chromecast-2-ga00379-us-_JM,,
MLA1398767505,Google Home Mini Con Asistente Virtual Multi-room Ref,MLA409415,99990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1398767505-google-home-mini-con-asistente-virtual-multi-room-ref-_JM,,
MLA1597677286,Speaker Google Home Mini Con Asistente Virtual  Refabricado,MLA409415,89990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1597677286-speaker-google-home-mini-con-asistente-virtual-refabricado-_JM,,
MLA1597457958,Google Home Mini Con Asistente Virtual  Charcoal Refabricado,MLA409415,69990,ARS,,,new,https://articulo.mercadolibre.com.ar/MLA-1597457958-google-home-mini-con-asistente-virtual-charcoal-refabricado-_JM,,
