CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte
201,Secretaría de Gobierno y Gestión del Gabinete,0,030219,Apoyo Al Funcionamiento De Centros De Conciliación,99,Toda la Ciudad,"$21,881,223",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040048,Guias Ciduadanos,7,Robledo,"$135,598,200",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040053,Plan Desarme,50,San Sebastián de Palmitas,"$3,068,101",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040200,Trabajo Con Población Reincidente,5,Castilla,"$3,797,460",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040198,Intervención Social En Las Cárceles,5,Castilla,"$28,354,307",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040048,Guias Ciduadanos,8,Villa Hermosa,"$161,651,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040049,Ciudadanía De La Noche,8,Villa Hermosa,"$21,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,010079,Mas Policias Para La Ciudad,99,Toda la Ciudad,"$4,875,580,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050080,PP MANUAL DE CONVIVENCIA,1,Popular,"$31,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,020216,MANUTENCIÓN DE RECLUSOS Y RECLUSAS,99,Toda la Ciudad,"$2,137,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040198,Intervención Social En Las Cárceles,2,Santa Cruz,"$12,269,454",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,030227,Fortalecimiento De Las Comisarias De Familia Del Municipio De Medellin,99,Toda la Ciudad,"$426,820,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,030229,El Inspector Y La Comunidad,99,Toda la Ciudad,"$357,090,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,030233,Difusion  Y Control De La Publicidad Exterior Visual,99,Toda la Ciudad,"$308,660,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,030234,Sensibilizacion Al Ciudadano,99,Toda la Ciudad,"$218,180,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,030236,Gestión Pública,99,Toda la Ciudad,"$10,940,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040049,Ciudadanía De La Noche,11,Laureles - Estadio,"$21,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040049,Ciudadanía De La Noche,5,Castilla,"$21,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,020213,Apoyo Institucional Para La Convivencia,99,Toda la Ciudad,"$1,059,830,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,040316,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,2,Santa Cruz,"$40,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040200,Trabajo Con Población Reincidente,10,La Candelaria,"$1,582,275",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040198,Intervención Social En Las Cárceles,10,La Candelaria,"$24,152,468",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050044,PP PLAN DESARME,2,Santa Cruz,"$40,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040048,Guias Ciduadanos,16,Belén,"$10,847,942",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,040316,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,7,Robledo,"$144,915,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040200,Trabajo Con Población Reincidente,7,Robledo,"$5,063,280",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040198,Intervención Social En Las Cárceles,7,Robledo,"$10,144,037",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050044,PP PLAN DESARME,3,Manrique,"$40,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040048,Guias Ciduadanos,9,Buenos Aires,"$43,390,768",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040049,Ciudadanía De La Noche,7,Robledo,"$21,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040049,Ciudadanía De La Noche,10,La Candelaria,"$21,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040048,Guias Ciduadanos,10,La Candelaria,"$10,847,942",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050084,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",3,Manrique,"$73,324,389",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,040311,PP ORGANIZACIÓN CONTROL AUTOCONTROL DE VENTEROS EN EL ESPACIO PUBLICO,2,Santa Cruz,"$47,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050080,PP MANUAL DE CONVIVENCIA,3,Manrique,"$45,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050061,PP FORTALECIMENTO Y ASISTENCIA A LOS DERECHOS HUMANOS,2,Santa Cruz,"$5,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040200,Trabajo Con Población Reincidente,2,Santa Cruz,"$158,860,410",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040200,Trabajo Con Población Reincidente,8,Villa Hermosa,"$3,481,005",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040049,Ciudadanía De La Noche,9,Buenos Aires,"$21,500,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,060033,PP- ACOMPAÑAMIENTO A POBLACIÓN REINCIDENTE,1,Popular,"$2,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,0,040048,Guias Ciduadanos,5,Castilla,"$108,479,420",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050078,PP APOYO INSTITUCIONAL A LA CONVIVENCIA,2,Santa Cruz,"$38,570,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050080,PP MANUAL DE CONVIVENCIA,60,San Cristobal,"$15,000,000",2008,31-Dic-2008
201,Secretaría de Gobierno y Gestión del Gabinete,1,050043,PP - APOYO AL FUNCIONAMIENTO CENTROS DE CONCILIACIÓN,60,San Cristobal,"$16,110,000",2008,31-Dic-2008
